0.5,asteroid,rock_sml1,200,0,4
0.5,asteroid,rock_sml1,200,0,4
0.6,asteroid,badship_flipped,300,0,4
0.6,asteroid,badship_flipped,150,0,4
0.9,asteroid,rock_sml2,100,0,4
0.9,asteroid,rock_med1,400,0,3
1.2,asteroid,rock_sml2,750,0,4
1.2,asteroid,rock_sml1,400,0,4
1.6,asteroid,badship_flipped,350,0,4
2.0,asteroid,rock_med2,200,0,4
2.4,asteroid,rock_sml1,150,0,2.5
2.5,asteroid,rock_med1,450,0,4
2.7,asteroid,rock_med1,605,0,4
3.0,asteroid,badship_flipped,720,0,4
3.1,asteroid,rock_sml2,380,0,4
3.6,asteroid,badship_flipped,770,0,4
3.8,asteroid,rock_sml1,200,0,3
3.8,asteroid,rock_sml2,100,0,4
4.1,asteroid,rock_med2,400,0,4
4.4,asteroid,rock_sml1,750,0,4.5
5.0,asteroid,rock_sml1,400,0,4
5.0,asteroid,badship_flipped,350,0,3
5.0,asteroid,rock_med1,200,0,4
5.2,asteroid,rock_sml2,150,0,4
5.2,asteroid,rock_sml1,600,0,3
5.2,asteroid,rock_med2,620,0,4
5.2,asteroid,rock_med1,450,0,5
5.5,asteroid,badship_flipped,720,0,4
5.6,asteroid,rock_sml2,380,0,4
6.0,asteroid,badship_flipped,770,0,4
9.0,end
